Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
1	3.7118375	0.25095704	4.1830993	3.2941177	44.125	-0.0010968876	0.006843092	0.7676847	-0.0074670655	0.20791668	0.5	0.0	0.33333334	0.15	2.5934384	327.0	34.625	5.0	9.5	0.0	3.6646993	5.75	164.8213014602661
2	3.8213603	0.22912239	4.2875524	3.3333333	42.291668	0.007935622	0.02693238	0.80913234	-0.015082344	0.21833332	0.5	0.05	0.29000002	0.25	2.4442322	402.0	31.041666	5.0	11.25	0.0	2.7571688	5.8333335	164.44785165786743
3	3.7686536	0.23148087	4.368889	3.3411765	35.208332	0.0045699575	0.045544308	0.83704203	-0.014411554	0.20791668	0.5	0.0	0.3285714	0.15	2.4183242	366.0	25.083334	5.0	10.125	0.0	2.6088436	6.0416665	167.55626916885376
4	3.7012699	0.20132953	4.053416	3.3	37.5	0.005169982	0.06741143	0.8122625	-0.00070385775	0.19791667	0.55	0.0	0.35999998	0.2	2.51685	321.0	27.708334	5.0	9.791667	0.0	2.8350875	5.8333335	167.57876253128052
5	3.737456	0.3061694	4.3165636	3.0	51.041668	0.0050685797	0.054240357	0.8524151	-0.009853658	0.21583335	0.45000002	0.0	0.28500003	0.2	2.4227767	362.0	38.25	5.0	12.791667	0.0	3.185646	5.75	169.655122756958
6	3.6998165	0.26890135	4.179154	3.2421052	48.25	0.015595999	0.060428828	0.8514984	-0.005932292	0.18083334	0.5	0.0	0.285	0.35	2.183763	246.0	36.916668	5.0	11.333333	0.0	3.4187768	5.7083335	170.58780813217163
7	3.8574772	0.21109262	4.423408	3.5312693	52.958332	0.010971519	0.06374843	0.9134612	-0.0009195211	0.27083334	0.6	0.05	0.39999998	0.25	2.3442836	352.0	41.208332	5.0	11.75	0.0	3.4526634	5.75	171.09965777397156
8	3.6669862	0.26314008	4.096732	3.0	43.25	0.004208379	0.08640611	0.9243583	0.00047393842	0.2	0.5	0.0	0.3285714	0.35	2.4514077	319.0	33.041668	5.0	10.208333	0.0	3.3749974	5.5416665	168.10716438293457
9	3.7513971	0.19554804	4.0654387	3.2444444	53.75	0.020297164	0.096164584	0.9388213	0.008747933	0.19833332	0.4	0.0	0.28333333	0.15	2.5213928	300.0	39.75	5.0	14.0	0.0	2.906165	5.7916665	167.7667534351349
10	3.7411892	0.26117012	4.18254	3.2470589	51.208332	0.023973068	0.101948835	1.0294431	0.017767763	0.21125	0.6	0.0	0.33125	0.25	2.497643	313.0	37.708332	5.0	13.5	0.0	2.622321	5.625	170.19468760490417
11	3.7963173	0.30095562	4.187451	3.0	60.333332	0.02649046	0.10442064	1.2367986	0.02595825	0.24666665	0.6	0.05	0.36428574	0.3	2.1869502	295.0	43.125	5.0	17.208334	0.0	2.7695312	5.75	174.16815304756165
12	3.8729198	0.2321932	4.2928104	3.2941177	54.416668	0.018899936	0.15770948	1.2484246	0.063608706	0.27833334	0.5	0.05	0.35000002	0.3	2.356666	265.0	38.416668	5.0	16.0	0.0	2.824274	5.5	173.01533031463623
13	3.7972023	0.24354672	4.207778	3.2941177	44.625	0.014302801	0.16814046	1.2749629	0.07236406	0.22208333	0.5	0.0	0.315	0.15	2.6956534	366.0	33.958332	5.0	10.666667	0.0	3.2820394	5.7083335	170.9905390739441
14	3.706546	0.3220632	4.2562976	3.0	41.166668	0.0009445493	0.18373327	1.2649025	0.081337534	0.23875	0.5	0.0	0.36875	0.25	2.4090858	222.0	30.833334	5.0	10.333333	0.0	3.1002533	6.0	166.2572729587555
15	3.8044968	0.28442764	4.488312	3.3142858	42.791668	-0.0026261115	0.20358217	1.255269	0.08803337	0.27583334	0.65000004	0.0	0.4	0.25	2.4409208	263.0	30.958334	5.0	11.833333	0.0	2.5997856	5.7916665	169.48202919960022
16	3.8366516	0.22272274	4.27507	3.3882353	41.625	-0.014599632	0.21146691	1.2348661	0.091557086	0.2929167	0.55	0.05	0.41	0.2	2.4164634	304.0	29.541666	5.0	12.083333	0.0	2.4076626	5.5833335	172.99004292488098
17	3.7888877	0.19635622	4.2048874	3.482353	40.333332	-0.021308353	0.2254536	1.2311057	0.0946332	0.26000002	0.6	0.0	0.38333336	0.2	2.4271526	283.0	29.666666	5.0	10.666667	0.0	2.8236437	5.5416665	173.1526870727539
18	3.7686722	0.17752066	4.074854	3.4352942	41.958332	-0.01618772	0.21713312	1.2366579	0.086565495	0.21833333	0.45000002	0.0	0.26875	0.2	2.5194051	319.0	29.833334	5.0	12.125	0.0	2.426038	5.8333335	169.73132610321045
19	3.900737	0.20636432	4.3961906	3.5566666	39.375	0.0034118972	0.21661802	1.2472159	0.10342304	0.26708332	0.65000004	0.05	0.4045455	0.25	2.246831	274.0	28.041666	5.0	11.333333	0.0	2.5641694	5.9583335	169.01022171974182
20	3.8806107	0.25793448	4.4563494	3.3066666	49.375	0.0015679306	0.22805417	1.2240791	0.1226027	0.28208336	0.65000004	0.05	0.37777779	0.2	2.4545133	180.0	36.75	5.0	12.625	0.0	2.961476	5.7916665	169.85365343093872
21	3.7670472	0.23316006	4.248421	3.2533333	37.583332	-0.007572092	0.24561633	1.2202549	0.13802864	0.23958334	0.6	0.0	0.43	0.35	2.1417494	159.0	27.5	5.0	10.083333	0.0	2.9245396	5.9583335	166.64009499549866
22	3.9550066	0.29297495	4.373968	3.4133334	44.208332	-0.012209475	0.24931414	1.2102548	0.15493499	0.28875	0.65000004	0.05	0.3318182	0.25	2.3867528	147.0	33.5	5.0	10.708333	0.0	3.164336	5.8333335	167.3217568397522
23	3.87906	0.24960016	4.418562	3.4222221	56.791668	-0.011692881	0.21329127	1.1704168	0.12746716	0.28583333	0.6	0.0	0.35	0.3	2.1607533	139.0	45.75	5.0	11.041667	0.0	4.2675786	5.7083335	171.54987144470215
24	3.8613641	0.29549116	4.5475936	3.35	58.166668	-0.031216122	0.20622997	1.1276618	0.09990879	0.29958332	0.6	0.0	0.38333333	0.45000002	2.1755953	183.0	48.75	5.0	9.416667	0.0	5.3820305	5.4583335	173.51026940345764
25	3.7425766	0.2926762	4.2317543	3.0	61.666668	-0.0065643582	0.18695533	1.0901657	0.10218823	0.28583336	0.6	0.05	0.41875002	0.15	2.3377533	200.0	51.875	5.0	9.791667	0.0	5.591335	5.625	172.67867851257324
26	3.9514854	0.28603405	4.5736117	3.323077	50.416668	-0.0004967183	0.18612997	1.0705512	0.08402893	0.30583334	0.65000004	0.0	0.40714288	0.25	2.3489213	161.0	39.083332	5.0	11.333333	0.0	3.4150124	5.875	168.30236840248108
27	3.7990158	0.307924	4.47372	3.3	38.458332	-0.0042312583	0.24214458	1.0637144	0.131154	0.2825	0.55	0.0	0.36499998	0.3	2.3119426	149.0	28.5	5.0	9.958333	0.0	3.0784295	5.6666665	170.38914442062378
28	3.8342297	0.2623836	4.385621	3.368421	54.5	0.023987053	0.19779862	1.1210164	0.14360632	0.25791666	0.6	0.0	0.3416667	0.25	2.475874	183.0	38.708332	5.0	15.791667	0.0	2.3792226	5.9583335	169.02682185173035
29	3.911031	0.16708183	4.3086247	3.625387	48.0	-0.0029187363	0.2437257	1.0911341	0.1751215	0.31833333	0.65000004	0.0	0.34444445	0.4	2.049601	159.0	32.5	5.0	15.5	0.0	2.1164618	6.125	170.1920804977417
30	3.8326561	0.18637456	4.2285714	3.5615385	41.458332	-0.0053932075	0.2531658	0.99297684	0.17955	0.29166666	0.6	0.05	0.36875004	0.3	2.327823	189.0	27.875	5.0	13.583333	0.0	2.0160425	6.25	171.05449676513672
31	3.8692372	0.28116688	4.2524676	3.2941177	36.5	-0.011063459	0.27242398	0.96036774	0.20231493	0.32458335	0.8	0.0	0.44583333	0.2	2.3991723	107.0	25.083334	5.0	11.416667	0.0	2.3168335	5.7916665	167.17113780975342
32	3.816705	0.2274083	4.205182	3.2615385	37.875	-0.0077381353	0.25676775	0.9187329	0.20586419	0.26833335	0.55	0.05	0.39375	0.35	2.3081126	127.0	27.166666	5.0	10.708333	0.0	2.8755672	5.6666665	168.52314352989197
33	3.8696563	0.2686619	4.322222	3.2615385	44.25	-0.005653199	0.24210833	0.9540041	0.2019818	0.31333333	0.6	0.1	0.375	0.2	2.4310808	119.0	33.041668	5.0	11.208333	0.0	2.9249308	5.9166665	167.27438616752625
34	3.8213909	0.26609245	4.3785715	3.3	33.666668	0.0063916296	0.2775329	1.0493562	0.21955514	0.29375	0.65000004	0.05	0.38333336	0.3	2.3248415	105.0	23.291666	5.0	10.375	0.0	2.3611832	5.875	166.34204602241516
35	3.7629726	0.2041127	4.057451	3.3	42.041668	-0.0068872957	0.26323476	1.0334873	0.22401671	0.2720833	0.7	0.0	0.38000003	0.3	2.2531466	124.0	29.75	5.0	12.291667	0.0	2.523959	5.625	167.7770974636078
36	3.8853447	0.23836492	4.3842425	3.3411765	43.0	-0.006217089	0.2328979	1.0666646	0.21361656	0.32125002	0.7	0.05	0.46666664	0.45000002	2.183223	138.0	32.333332	5.0	10.666667	0.0	3.0646274	5.75	171.32153820991516
37	3.8939066	0.26953813	4.3009524	3.4285715	55.791668	-0.004695739	0.22378783	1.0455686	0.18513197	0.32291666	0.55	0.05	0.41875	0.4	2.1878686	81.0	43.291668	5.0	12.5	0.0	3.67125	5.375	171.93355417251587
38	3.7767627	0.2055699	4.1568375	3.3066666	57.375	0.00025157025	0.20169772	1.0057067	0.1706977	0.26208335	0.55	0.0	0.35833335	0.25	2.4119828	76.0	45.083332	5.0	12.291667	0.0	3.5030668	5.375	172.69669675827026
39	3.8232765	0.2944905	4.644293	3.3714285	56.416668	-7.188305e-05	0.17208129	1.0400511	0.11728728	0.30291665	0.65000004	0.05	0.4857143	0.1	2.466021	99.0	45.541668	5.0	10.875	0.0	4.2490363	5.5833335	169.7958469390869
