Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
1	3.8224316	0.20784639	4.374902	3.547451	36.625	0.021842955	0.012373369	0.50923735	-0.0060883723	0.24166666	0.6	0.0	0.34166667	0.35	2.2586408	301.0	23.541666	5.0	13.083333	0.0	1.908588	6.5416665	120.39687085151672
2	3.7415931	0.18402788	4.1055555	3.25	33.75	0.021215126	0.021677544	0.56311697	-0.008632182	0.19291668	0.45000002	0.0	0.27142859	0.25	2.4814775	327.0	20.833334	5.0	12.916667	0.0	1.7578278	5.9583335	113.7060477733612
3	3.6839345	0.2070813	4.0277777	3.2470589	34.541668	0.020281166	0.027129121	0.55661	-0.0020197977	0.20875001	0.45000002	0.05	0.31428573	0.2	2.3284683	386.0	21.666666	5.0	12.875	0.0	1.8765866	6.2916665	111.46136355400085
4	3.7864149	0.23889674	4.1330066	3.2470589	39.75	0.026166126	0.046062987	0.5860408	-0.0015717865	0.23	0.55	0.0	0.33499998	0.45000002	2.3420193	319.0	26.0	5.0	13.75	0.0	1.9712944	6.3333335	116.22903895378113
5	3.643985	0.18710664	4.1263156	3.2421052	36.25	0.0137657225	0.042911515	0.6260069	-0.002389485	0.19375	0.55	0.0	0.3111111	0.15	2.6298048	345.0	22.375	5.0	13.875	0.0	1.6100243	6.0416665	110.57461643218994
6	3.6970017	0.22035196	4.12253	3.0	34.625	0.013673123	0.06055403	0.628516	-0.0008109323	0.21083333	0.45000002	0.0	0.30555555	0.15	2.582494	370.0	20.125	5.0	14.5	0.0	1.3968706	6.375	111.45627903938293
7	3.7663574	0.19987087	4.125229	3.3777778	36.791668	0.009149065	0.057195082	0.6116872	-0.0019016982	0.22916667	0.5	0.0	0.31875	0.3	2.4602733	320.0	18.958334	5.0	17.833334	0.0	1.0966045	6.625	110.96715950965881
8	3.7734344	0.23650104	4.234386	3.2941177	32.125	0.0052424353	0.06889237	0.60393184	-0.0010319254	0.21291666	0.45000002	0.0	0.27499998	0.15	2.4691205	325.0	18.0	5.0	14.125	0.0	1.3648466	5.9583335	109.51596641540527
9	3.7079175	0.24906416	4.299415	3.2470589	34.625	0.002139344	0.06490409	0.60886925	-0.0033754648	0.23541668	0.5	0.05	0.3125	0.2	2.46535	290.0	19.916666	5.0	14.708333	0.0	1.3629187	6.2916665	109.42623448371887
10	3.6825485	0.23558503	4.3136506	3.2533333	32.666668	0.022551239	0.06257441	0.61041385	-0.003237813	0.20291667	0.45000002	0.0	0.3	0.1	2.6268144	321.0	17.458334	5.0	15.208333	0.0	1.2448263	6.2916665	109.94476652145386
11	3.821962	0.21074598	4.441471	3.3714285	36.208332	-0.0012079714	0.059713397	0.6098495	-0.0014664949	0.31041667	0.6	0.05	0.42222226	0.3	2.2280574	335.0	19.833334	5.0	16.375	0.0	1.265823	6.75	110.77602100372314
12	3.84085	0.22952835	4.346316	3.3263159	39.333332	-0.0056946217	0.06286606	0.6129179	-0.0006256566	0.24416666	0.6	0.05	0.3363636	0.0	3.3197072	252.0	21.333334	5.0	18.0	0.0	1.2125098	6.3333335	110.63372325897217
