Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
1	3.6600685	0.23184739	4.071111	3.2421052	49.875	0.009826498	0.014054631	0.7766445	-0.009460893	0.17375	0.4	0.0	0.3	0.05	2.640613	368.0	38.875	5.0	11.0	0.0	3.7770393	5.6666665	141.37023520469666
2	3.7733119	0.19837904	4.1437907	3.3411765	40.708332	0.019633843	0.02498283	0.7778139	-0.01888167	0.21458334	0.45000002	0.0	0.29500002	0.3	2.1684625	366.0	30.041666	5.0	10.666667	0.0	2.8235264	5.6666665	140.2075231075287
3	3.7975004	0.22263962	4.2755556	3.2941177	40.833332	-0.03132318	0.08926783	0.7770087	-0.030897548	0.25083333	0.55	0.0	0.37777776	0.2	2.414885	338.0	30.166666	5.0	10.666667	0.0	2.8840096	5.9166665	142.3307340145111
4	3.8465576	0.28440565	4.4340396	3.288889	50.0	-0.004096755	0.122159265	0.81878155	-0.04425784	0.26833335	0.5	0.05	0.37142858	0.3	2.3694167	347.0	38.458332	5.0	11.541667	0.0	3.4409294	5.4583335	139.17852425575256
5	3.686066	0.23103772	4.1509523	3.2842104	48.291668	0.0061665475	0.114465296	0.9573371	-0.03991103	0.18750001	0.45000002	0.0	0.3	0.25	2.494244	430.0	36.958332	5.0	11.333333	0.0	3.329727	6.0	140.9071066379547
6	3.7078578	0.23390236	4.1349845	3.2470589	39.791668	-0.009519286	0.14055346	0.9312454	-0.032071672	0.21541667	0.45000002	0.05	0.305	0.25	2.4417045	271.0	28.75	5.0	11.041667	0.0	2.5838003	5.5833335	139.4826226234436
7	3.789174	0.2074635	4.069883	3.2444444	48.958332	-0.00127114	0.14462069	0.90710145	-0.031690776	0.20041665	0.45000002	0.0	0.34375	0.15	2.3703573	300.0	35.708332	5.0	13.25	0.0	2.7359943	6.0	140.69491910934448
8	3.6392772	0.25385734	4.058235	3.0	53.708332	-0.008016524	0.12616615	0.87354106	-0.042227615	0.20041665	0.45000002	0.0	0.33125	0.25	2.4147477	396.0	40.583332	5.0	13.125	0.0	3.1365173	5.875	139.63471007347107
9	3.8589554	0.19057229	4.244854	3.5777779	43.333332	0.004703592	0.1410328	0.84032106	-0.045451056	0.22666667	0.55	0.05	0.345	0.3	2.2757058	378.0	31.75	5.0	11.583333	0.0	2.882912	5.75	138.3454396724701
10	3.8188426	0.22929846	4.2920637	3.5	49.375	-0.02282708	0.15032625	0.816179	-0.04402646	0.25375	0.7	0.0	0.39999998	0.25	2.2788842	277.0	34.458332	5.0	14.916667	0.0	2.6026773	5.7916665	137.6288685798645
11	3.77651	0.2135662	4.3028207	3.4666667	58.625	-0.027138246	0.16436656	0.821201	-0.053714752	0.2525	0.6	0.05	0.37727273	0.25	2.4241073	326.0	39.666668	5.0	18.958334	0.0	2.0711937	5.9166665	137.89987802505493
12	3.87574	0.30267188	4.405831	3.3	56.208332	-0.0034146802	0.21709378	1.0094148	-0.068119906	0.26625	0.55	0.0	0.475	0.25	2.540986	364.0	36.875	5.0	19.333334	0.0	1.9388138	5.375	138.1285753250122
