Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
1	3.2942684	0.97625583	4.099897	0.0	135.08333	-0.016309677	0.02377733	2.193457	-0.008296625	0.22018346	0.55	0.0	0.3181818	0.3	2.1381109	172.0	102.625	4.5416665	32.458332	0.0	3.272864	8.416667	164.08641529083252
2	3.4332085	0.5895146	4.2003922	1.7566667	126.875	-0.013017855	0.033814818	2.2329447	-0.01767193	0.20652173	0.45000002	0.0	0.34	0.4	2.301674	416.0	94.5	4.7916665	32.375	0.0	2.9957304	8.458333	155.47280597686768
3	3.2372582	0.746589	3.9550877	1.5263158	138.625	0.022507483	0.058751147	2.4954808	-0.014687815	0.20954545	0.5	0.0	0.3142857	0.25	2.5450454	153.0	102.0	4.5833335	36.625	0.0	2.8082008	8.291667	151.99172377586365
4	3.4415824	0.8085085	4.2793164	0.2	150.54167	-0.00896674	0.06564074	2.4777286	-0.022052132	0.25178573	0.5	0.0	0.31428573	0.25	2.522043	197.0	113.416664	4.6666665	37.125	0.0	3.1641808	8.791667	155.55445265769958
5	3.512563	0.52325594	4.0326796	1.6105263	116.708336	-0.005772921	0.13117774	2.4628544	-0.022009918	0.21982756	0.5	0.0	0.37142855	0.3	2.2110696	227.0	87.166664	4.8333335	29.541666	0.0	2.8718479	8.291667	153.28317403793335
6	3.6626818	0.3332339	4.1548367	2.5904763	132.0	-0.031087592	0.1310919	2.4357827	-0.021483934	0.23389833	0.45000002	0.0	0.3111111	0.25	2.3808112	215.0	105.041664	4.9166665	26.958334	0.0	4.0756927	8.208333	169.69423484802246
7	3.418752	0.919811	4.328328	0.6	126.458336	-0.0069526755	0.13438812	2.4156573	-0.020265317	0.23738739	0.55	0.0	0.31428573	0.2	2.596465	283.0	104.208336	4.625	22.25	0.0	4.628248	7.75	163.01657104492188
8	3.1185246	0.7931973	3.9277778	1.4470588	152.91667	-0.008143683	0.12829812	2.4264386	-0.013408326	0.1740741	0.35	0.0	0.24375	0.05	3.196868	359.0	128.5	4.5	24.416666	0.0	5.4625516	7.8333335	149.27886700630188
9	3.3033264	0.9395183	4.225387	0.8842105	165.125	-0.008731033	0.10501803	2.545628	-0.010708186	0.21759261	0.5	0.05	0.29444444	0.25	2.5561566	289.0	142.625	4.5	22.5	0.0	6.6693115	7.2916665	160.67761278152466
10	2.9330018	1.1563358	4.130667	0.6	166.16667	-0.018306691	0.1030971	2.5617266	0.0005522202	0.19411764	0.45000002	0.0	0.28125	0.15	2.5744758	200.0	144.41667	4.25	21.75	0.0	6.736868	7.875	186.40336966514587
