Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Acc	MaxAcc	MinAcc	MaxTrialAcc	MaxMaxTrialAcc	MinMaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
1	3.242007	0.9110101	4.0957265	0.89411765	127.416664	0.20642202	0.5	0.0	0.31428573	0.5	0.1	0.3	2.3273365	375.0	117.708336	4.5416665	9.708333	0.0	11.4929	5.375	157.4238543510437
2	2.8402984	1.239233	4.122446	0.0	143.91667	0.23333335	0.55	0.0	0.31428573	0.55	0.05	0.25	2.373993	307.0	135.0	4.0	8.916667	0.0	10.4641285	5.125	146.12316513061523
3	3.0033982	1.1467179	4.037977	0.2	129.375	0.19174759	0.4	0.0	0.25555554	0.4	0.05	0.35	2.3516688	305.0	120.333336	4.2916665	9.041667	0.0	10.293316	5.5	148.9485788345337
4	3.2396498	0.9543022	4.098538	0.44705883	117.083336	0.18073396	0.4	0.0	0.26666668	0.4	0.1	0.2	2.4554887	322.0	108.125	4.5416665	8.958333	0.0	10.272647	5.625	157.85639548301697
5	2.161188	1.590501	4.313464	0.0	152.79167	0.18589744	0.45000002	0.0	0.26666668	0.45000002	0.05	0.05	3.0655406	248.0	145.91667	3.25	6.875	0.0	8.63272	4.0416665	132.88977193832397
6	2.5972867	1.3460594	4.234267	0.2	155.25	0.19408603	0.4	0.0	0.275	0.4	0.05	0.25	2.4395955	384.0	145.58333	3.875	9.666667	0.0	8.586432	5.125	144.75947451591492
7	3.0552006	1.0971477	4.136392	0.2	133.41667	0.21796115	0.5	0.0	0.33125	0.5	0.15	0.2	2.6438544	263.0	124.375	4.2916665	9.041667	0.0	9.44007	5.3333335	152.32727360725403
8	2.7677135	1.2058526	3.9684875	0.0	141.16667	0.18659793	0.45000002	0.0	0.27222222	0.45000002	0.05	0.25	2.54364	402.0	132.75	4.0416665	8.416667	0.0	10.341393	4.9583335	146.80663204193115
9	3.2552369	0.8751591	4.495614	0.95	143.875	0.20779818	0.5	0.0	0.4	0.5	0.3	0.2	2.6164882	386.0	132.58333	4.5416665	11.291667	0.0	11.105723	5.625	158.19067001342773
10	2.8274467	1.3273834	3.9496903	0.2	129.625	0.19540817	0.55	0.0	0.27857143	0.55	0.1	0.2	2.6323333	406.0	121.208336	4.0833335	8.416667	0.0	12.290779	5.0416665	147.22772455215454
11	2.7243748	1.2578441	4.4849153	0.2	142.08333	0.20937501	0.55	0.05	0.3285714	0.55	0.15	0.3	2.3935974	361.0	131.91667	4.0	10.166667	0.0	7.223003	5.2083335	150.62906694412231
12	3.3445978	0.919485	4.292063	0.9411765	120.5	0.25183484	0.7	0.05	0.3318182	0.7	0.05	0.3	2.401545	347.0	110.958336	4.5416665	9.541667	0.0	12.040376	5.5	155.99521708488464
13	2.7504752	1.3616586	4.038889	0.2	133.25	0.22864585	0.5	0.0	0.28636363	0.5	0.05	0.1	2.8553421	352.0	125.041664	4.0	8.208333	0.0	10.378499	5.0416665	147.51547956466675
14	2.8693383	1.1828849	4.0871363	0.0	144.79167	0.29081634	0.55	0.0	0.34285715	0.55	0.1	0.35	2.2783768	242.0	135.33333	4.0833335	9.458333	0.0	8.606538	5.3333335	154.08819937705994
15	3.1894398	1.0644624	4.127671	0.90666664	134.29167	0.26346156	0.7	0.0	0.375	0.7	0.05	0.3	2.4439685	366.0	124.708336	4.3333335	9.583333	0.0	12.794253	5.625	156.40826797485352
16	3.108835	1.0815753	4.541028	0.8842105	143.66667	0.2786408	0.6	0.0	0.35416666	0.6	0.05	0.15	2.6495235	375.0	133.875	4.2916665	9.791667	0.0	11.180408	5.5416665	154.96281480789185
17	3.2495716	1.1726192	4.057843	0.2	112.875	0.25190476	0.5	0.05	0.3611111	0.5	0.15	0.25	2.4522057	255.0	103.041664	4.375	9.833333	0.0	8.843052	5.5	152.7689151763916
18	2.8798215	1.3671293	4.1833334	0.0	132.125	0.25208333	0.55	0.0	0.37857145	0.55	0.2	0.25	2.4236007	281.0	123.666664	4.0	8.458333	0.0	13.15043	5.125	146.26564693450928
19	2.5324643	1.4942647	4.443137	0.2	148.08333	0.26627907	0.6	0.0	0.38571432	0.6	0.15	0.3	2.3447165	338.0	140.625	3.5833333	7.4583335	0.0	14.504069	4.3333335	143.90436840057373
20	3.321125	1.1493267	4.728205	0.0	126.541664	0.31603774	0.65000004	0.0	0.4642857	0.65000004	0.25	0.25	2.4530604	237.0	116.416664	4.4166665	10.125	0.0	10.594314	5.625	156.80881071090698
21	2.7953465	1.2631524	4.155831	0.2	156.95833	0.27234042	0.6	0.0	0.44375002	0.6	0.2	0.25	2.376849	245.0	146.79167	3.9166667	10.166667	0.0	10.705162	4.9166665	148.70530676841736
22	2.999384	1.3259441	4.3675756	0.2	128.54167	0.30714285	0.65000004	0.05	0.4357143	0.65000004	0.2	0.35	2.238027	192.0	118.875	4.0833335	9.666667	0.0	9.422315	5.3333335	147.49065613746643
23	3.203211	1.052543	4.224929	0.6	120.833336	0.2514151	0.6	0.0	0.35000002	0.6	0.05	0.15	2.4373279	252.0	111.541664	4.4166665	9.291667	0.0	10.512494	5.2083335	154.99431586265564
24	3.3056335	0.90917337	3.988562	0.2	125.75	0.24541286	0.5	0.0	0.28125	0.5	0.05	0.2	2.5131223	248.0	114.583336	4.5416665	11.166667	0.0	8.16108	5.75	156.25765204429626
25	3.1193397	1.077299	4.298562	0.6	131.20833	0.25528848	0.65000004	0.05	0.39000002	0.65000004	0.15	0.35	2.5947547	200.0	121.083336	4.3333335	10.125	0.0	7.464934	5.75	152.2528100013733
26	3.2774448	1.0493354	4.220642	0.6	111.958336	0.29299065	0.55	0.05	0.35000002	0.55	0.1	0.15	2.3609233	312.0	101.083336	4.4583335	10.875	0.0	7.7466063	5.9166665	154.3343789577484
27	3.0550563	1.1624383	4.0964704	0.2	139.0	0.25049505	0.55	0.05	0.32142857	0.55	0.1	0.3	2.3188348	256.0	130.58333	4.2083335	8.416667	0.0	11.46054	5.2083335	147.75394487380981
28	3.1790104	1.250015	4.2675977	0.0	120.541664	0.27156863	0.55	0.05	0.35	0.55	0.15	0.15	2.6764553	313.0	112.666664	4.25	7.875	0.0	12.333043	5.0833335	148.28928637504578
29	3.3713465	1.0009139	4.3896728	0.84444445	143.04167	0.31111112	0.65000004	0.05	0.3888889	0.65000004	0.2	0.2	2.5215967	277.0	133.54167	4.5	9.5	0.0	13.943149	5.2916665	158.9102702140808
30	3.2278016	1.0641087	4.385546	0.96842104	137.45833	0.31519607	0.7	0.0	0.41666666	0.7	0.05	0.2	2.5956352	261.0	127.833336	4.25	9.625	0.0	10.175199	5.4166665	149.07258677482605
